"","X","ID","Variety","Year","Location","Yield","Plant.m2","START","END"
"45",45,23,"HB83M",2004,"San Andres",4.62,4.8,"5/15/2004","9/25/2004"
"46",46,23,"HA48",2004,"San Andres",5.72,4.7,"5/15/2004","9/25/2004"
"47",47,23,"HB83M",2004,"San Andres 2",2.96,4.1,"5/15/2004","9/25/2004"
"48",48,23,"HA48",2004,"San Andres 2",2.18,3.1,"5/15/2004","9/25/2004"
"49",49,21,"HB83M",2004,"Playitas 1",5.07,4.4,"5/15/2004","9/25/2004"
"50",50,21,"HA48",2004,"Playitas 1",6.83,4.6,"5/15/2004","9/25/2004"
"51",51,21,"HB83M",2004,"Playitas 2",4.45,6.2,"5/15/2004","9/25/2004"
"52",52,21,"HA48",2004,"Playitas 2",3.18,6.5,"5/15/2004","9/25/2004"
"53",53,8,"HB83M",2004,"El Portillo",4.34,5.1,"5/15/2004","9/25/2004"
"54",54,8,"HA48",2004,"El Portillo",5.07,5.7,"5/15/2004","9/25/2004"
"55",55,26,"HB83M",2004,"Santa Rosa",4.91,5.3,"5/15/2004","9/25/2004"
"56",56,26,"HA48",2004,"Santa Rosa",5.18,5.8,"5/15/2004","9/25/2004"
"57",57,4,"HB83M",2004,"Pejiballe",2.79,2.6,"5/15/2004","9/25/2004"
"58",58,4,"HA48",2004,"Pejiballe",5.49,3.9,"5/15/2004","9/25/2004"
"59",59,7,"HB83M",2004,"El Ejido",6.3,6.1,"5/15/2004","9/25/2004"
"60",60,7,"HA48",2004,"El Ejido",6.06,5.9,"5/15/2004","9/25/2004"
"61",61,11,"HB83M",2004,"Guarare",6.02,6.1,"5/15/2004","9/25/2004"
"62",62,11,"HA48",2004,"Guarare",6.63,5.7,"5/15/2004","9/25/2004"
"63",63,5,"HB83",2005,"Cuyuta",4.95,6,"5/15/2005","9/25/2005"
"64",64,5,"HB83M",2005,"Cuyuta",4.72,6.1,"5/15/2005","9/25/2005"
"65",65,5,"HA48",2005,"Cuyuta",3.83,6.1,"5/15/2005","9/25/2005"
"66",66,13,"HB83",2005,"La Maquina",4.07,4.3,"5/15/2005","9/25/2005"
"67",67,13,"HB83M",2005,"La Maquina",3.64,4,"5/15/2005","9/25/2005"
"68",68,13,"HA48",2005,"La Maquina",4.04,4.3,"5/15/2005","9/25/2005"
"69",69,22,"HB83",2005,"Quezada",4.07,4.3,"5/15/2005","9/25/2005"
"70",70,22,"HB83M",2005,"Quezada",3.64,4,"5/15/2005","9/25/2005"
"71",71,22,"HA48",2005,"Quezada",4.04,4.3,"5/15/2005","9/25/2005"
"72",72,14,"HA48",2005,"Las Vegas",3.67,4.9,"5/15/2005","9/25/2005"
"73",73,14,"HB83",2005,"Las Vegas",4.47,5,"5/15/2005","9/25/2005"
"74",74,14,"HB83M",2005,"Las Vegas",4.61,4.8,"5/15/2005","9/25/2005"
"75",75,20,"HB83",2005,"Nueva Concepcion",1.61,5.9,"5/15/2005","9/25/2005"
"76",76,20,"HB83M",2005,"Nueva Concepcion",1.86,6.2,"5/15/2005","9/25/2005"
"77",77,20,"HA48",2005,"Nueva Concepcion",1.31,6.1,"5/15/2005","9/25/2005"
"78",78,17,"HB83",2005,"Masaya",4.52,5.1,"5/15/2005","9/25/2005"
"79",79,17,"HB83M",2005,"Masaya",5.32,4.9,"5/15/2005","9/25/2005"
"80",80,17,"HA48",2005,"Masaya",3.95,5.9,"5/15/2005","9/25/2005"
"81",81,26,"HB83",2005,"Santa Rosa",6.28,5.7,"5/15/2005","9/25/2005"
"82",82,26,"HB83M",2005,"Santa Rosa",6.39,5.4,"5/15/2005","9/25/2005"
"83",83,26,"HA48",2005,"Santa Rosa",6.64,5.6,"5/15/2005","9/25/2005"
"84",84,15,"HB83",2005,"Los Chiles",3.21,3.6,"5/15/2005","9/25/2005"
"85",85,15,"HB83M",2005,"Los Chiles",3.19,3.8,"5/15/2005","9/25/2005"
"86",86,15,"HA48",2005,"Los Chiles",3.04,4.3,"5/15/2005","9/25/2005"
"87",87,4,"HB83",2005,"Pejiballe",2.03,3.5,"5/15/2005","9/25/2005"
"88",88,4,"HB83M",2005,"Pejiballe",1.67,3.6,"5/15/2005","9/25/2005"
"89",89,4,"HA48",2005,"Pejiballe",1.78,4.7,"5/15/2005","9/25/2005"
"90",90,12,"HB83",2005,"Hidalgo",1.59,5.5,"5/15/2005","9/25/2005"
"91",91,12,"HB83M",2005,"Hidalgo",2.01,5.9,"5/15/2005","9/25/2005"
"92",92,12,"HA48",2005,"Hidalgo",2.14,5.9,"5/15/2005","9/25/2005"
"93",93,1,"HB83",2005,"Acayucan",4.18,5.9,"5/15/2005","9/25/2005"
"94",94,1,"HB83M",2005,"Acayucan",4.63,6,"5/15/2005","9/25/2005"
"95",95,1,"HA48",2005,"Acayucan",4.9,6,"5/15/2005","9/25/2005"
"96",96,10,"HB83",2005,"Frailesca",4.31,4.6,"5/15/2005","9/25/2005"
"97",97,10,"HB83M",2005,"Frailesca",4.86,4.6,"5/15/2005","9/25/2005"
"98",98,10,"HA48",2005,"Frailesca",4.44,4.8,"5/15/2005","9/25/2005"
"99",99,3,"HB83",2005,"Comayagua",9.53,6.4,"5/15/2005","9/25/2005"
"100",100,3,"HB83M",2005,"Comayagua",9.22,6.1,"5/15/2005","9/25/2005"
"101",101,3,"HA48",2005,"Comayagua",9.96,6.5,"5/15/2005","9/25/2005"
"102",102,6,"HB83",2005,"Danli",6.43,6.3,"5/15/2005","9/25/2005"
"103",103,6,"HB83M",2005,"Danli",8.19,6.5,"5/15/2005","9/25/2005"
"104",104,6,"HA48",2005,"Danli",6.72,6.5,"5/15/2005","9/25/2005"
"105",105,9,"HB83",2005,"Empalizada",4.23,6.1,"5/15/2005","9/25/2005"
"106",106,9,"HB83M",2005,"Empalizada",4.88,5.9,"5/15/2005","9/25/2005"
"107",107,9,"HA48",2005,"Empalizada",3.94,5.9,"5/15/2005","9/25/2005"
"108",108,23,"HB83",2005,"San Andres",2.21,3.7,"5/15/2005","9/25/2005"
"109",109,23,"HB83M",2005,"San Andres",2.37,5,"5/15/2005","9/25/2005"
"110",110,23,"HA48",2005,"San Andres",2.57,3.2,"5/15/2005","9/25/2005"
"111",111,16,"HB83",2005,"Maracay",4.69,5,"5/15/2005","9/25/2005"
"112",112,16,"HB83M",2005,"Maracay",5.06,5.4,"5/15/2005","9/25/2005"
"113",113,16,"HA48",2005,"Maracay",4.77,5.4,"5/15/2005","9/25/2005"
